"","rater_id","rated_ID","Group","domItem","dominanceRatings","id"
"177.R5",63,61,13,"R5",1,177
"178.R5",63,62,13,"R5",1,178
"179.R5",64,61,13,"R5",3,179
"180.R5",64,62,13,"R5",6,180
"181.R5",64,63,13,"R5",1,181
"182.R5",64,65,13,"R5",2,182
"183.R5",65,61,13,"R5",5,183
"184.R5",65,62,13,"R5",2,184
"185.R5",65,63,13,"R5",3,185
"186.R5",65,64,13,"R5",5,186
"187.R5",66,67,14,"R5",2,187
"188.R5",69,67,14,"R5",2,188
"189.R5",69,70,14,"R5",4,189
"190.R5",70,66,14,"R5",1,190
"191.R5",70,67,14,"R5",1,191
"192.R5",70,68,14,"R5",1,192
"193.R5",70,69,14,"R5",1,193
"194.R5",71,72,15,"R5",4,194
"195.R5",71,74,15,"R5",5,195
"196.R5",71,75,15,"R5",3,196
"197.R5",72,71,15,"R5",1,197
"198.R5",72,73,15,"R5",2,198
"199.R5",72,74,15,"R5",2,199
"200.R5",72,75,15,"R5",5,200
"201.R5",73,71,15,"R5",7,201
"202.R5",73,72,15,"R5",1,202
"203.R5",74,72,15,"R5",1,203
"204.R5",74,73,15,"R5",2,204
"205.R5",74,75,15,"R5",4,205
"206.R5",75,72,15,"R5",3,206
"207.R5",75,73,15,"R5",2,207
"208.R5",75,74,15,"R5",2,208
"209.R5",77,76,16,"R5",1,209
"210.R5",77,78,16,"R5",1,210
"211.R5",77,79,16,"R5",1,211
"212.R5",77,80,16,"R5",3,212
"213.R5",78,76,16,"R5",2,213
"214.R5",78,77,16,"R5",3,214
"215.R5",78,79,16,"R5",1,215
"216.R5",78,80,16,"R5",4,216
"217.R5",79,76,16,"R5",2,217
"218.R5",79,77,16,"R5",3,218
"219.R5",79,78,16,"R5",2,219
"220.R5",79,80,16,"R5",4,220
"221.R5",80,76,16,"R5",3,221
"222.R5",80,77,16,"R5",1,222
"223.R5",80,78,16,"R5",2,223
"224.R5",80,79,16,"R5",1,224
"225.R5",81,82,17,"R5",1,225
"226.R5",81,83,17,"R5",1,226
"227.R5",81,84,17,"R5",3,227
"228.R5",81,85,17,"R5",6,228
"229.R5",82,81,17,"R5",1,229
"230.R5",82,83,17,"R5",1,230
"231.R5",82,84,17,"R5",1,231
"232.R5",82,85,17,"R5",1,232
"233.R5",83,81,17,"R5",1,233
"234.R5",83,82,17,"R5",1,234
"235.R5",83,84,17,"R5",1,235
"236.R5",83,85,17,"R5",1,236
"237.R5",84,81,17,"R5",1,237
"238.R5",84,82,17,"R5",2,238
"239.R5",84,83,17,"R5",1,239
"240.R5",84,85,17,"R5",6,240
"241.R5",85,81,17,"R5",1,241
"242.R5",85,82,17,"R5",2,242
"243.R5",85,83,17,"R5",1,243
"244.R5",85,84,17,"R5",1,244
"245.R5",86,87,18,"R5",3,245
"246.R5",86,88,18,"R5",4,246
"247.R5",86,89,18,"R5",1,247
"248.R5",86,90,18,"R5",2,248
"249.R5",89,86,18,"R5",7,249
"250.R5",89,87,18,"R5",7,250
"251.R5",89,88,18,"R5",7,251
"252.R5",89,90,18,"R5",1,252
"253.R5",91,92,19,"R5",1,253
"254.R5",91,93,19,"R5",4,254
"255.R5",91,94,19,"R5",1,255
"256.R5",91,95,19,"R5",1,256
"257.R5",92,91,19,"R5",2,257
"258.R5",92,93,19,"R5",2,258
"259.R5",92,94,19,"R5",2,259
"260.R5",92,95,19,"R5",5,260
"261.R5",93,91,19,"R5",1,261
"262.R5",93,92,19,"R5",4,262
"263.R5",93,94,19,"R5",1,263
"264.R5",93,95,19,"R5",4,264
"265.R5",95,91,19,"R5",1,265
"266.R5",95,92,19,"R5",4,266
"267.R5",95,93,19,"R5",5,267
"268.R5",95,94,19,"R5",2,268
"269.R5",96,97,20,"R5",2,269
"270.R5",96,98,20,"R5",3,270
"271.R5",96,99,20,"R5",3,271
"272.R5",96,100,20,"R5",1,272
"273.R5",97,96,20,"R5",1,273
"274.R5",97,98,20,"R5",2,274
"275.R5",97,99,20,"R5",1,275
"276.R5",97,100,20,"R5",1,276
"277.R5",98,96,20,"R5",2,277
"278.R5",98,97,20,"R5",3,278
"279.R5",98,99,20,"R5",3,279
"280.R5",98,100,20,"R5",2,280
"281.R5",99,96,20,"R5",2,281
"282.R5",99,97,20,"R5",5,282
"283.R5",99,98,20,"R5",4,283
"284.R5",99,100,20,"R5",5,284
"285.R5",100,96,20,"R5",5,285
"286.R5",100,97,20,"R5",3,286
"287.R5",100,98,20,"R5",3,287
"288.R5",100,99,20,"R5",3,288
"289.R5",101,102,21,"R5",1,289
"290.R5",101,103,21,"R5",1,290
"291.R5",101,104,21,"R5",1,291
"292.R5",101,105,21,"R5",1,292
"293.R5",102,101,21,"R5",4,293
"294.R5",102,103,21,"R5",3,294
"295.R5",102,104,21,"R5",2,295
"296.R5",102,105,21,"R5",2,296
"297.R5",103,101,21,"R5",2,297
"298.R5",103,102,21,"R5",3,298
"299.R5",103,104,21,"R5",2,299
"300.R5",103,105,21,"R5",3,300
"301.R5",104,101,21,"R5",1,301
"302.R5",104,102,21,"R5",1,302
"303.R5",104,103,21,"R5",1,303
"304.R5",104,105,21,"R5",1,304
"305.R5",105,101,21,"R5",1,305
"306.R5",105,102,21,"R5",2,306
"307.R5",105,103,21,"R5",1,307
"308.R5",105,104,21,"R5",1,308
"309.R5",106,107,22,"R5",1,309
"310.R5",106,108,22,"R5",2,310
"311.R5",106,109,22,"R5",1,311
"312.R5",106,110,22,"R5",6,312
"313.R5",107,106,22,"R5",1,313
"314.R5",107,108,22,"R5",1,314
"315.R5",107,109,22,"R5",1,315
"316.R5",107,110,22,"R5",5,316
"317.R5",108,106,22,"R5",1,317
"318.R5",108,107,22,"R5",3,318
"319.R5",108,109,22,"R5",1,319
"320.R5",108,110,22,"R5",6,320
"321.R5",109,106,22,"R5",1,321
"322.R5",109,107,22,"R5",2,322
"323.R5",109,108,22,"R5",1,323
"324.R5",109,110,22,"R5",4,324
"325.R5",110,106,22,"R5",2,325
"326.R5",110,107,22,"R5",4,326
"327.R5",110,109,22,"R5",4,327
"328.R5",110,108,22,"R5",1,328
"329.R5",112,111,23,"R5",6,329
"330.R5",112,113,23,"R5",1,330
"331.R5",112,114,23,"R5",2,331
"332.R5",112,115,23,"R5",6,332
"333.R5",113,111,23,"R5",4,333
"334.R5",113,112,23,"R5",2,334
"335.R5",113,114,23,"R5",3,335
"336.R5",113,115,23,"R5",1,336
"337.R5",114,111,23,"R5",6,337
"338.R5",114,112,23,"R5",1,338
"339.R5",114,113,23,"R5",1,339
"340.R5",114,115,23,"R5",4,340
"341.R5",115,111,23,"R5",5,341
"342.R5",115,112,23,"R5",1,342
"343.R5",115,113,23,"R5",1,343
"344.R5",115,114,23,"R5",4,344
"345.R5",116,117,24,"R5",4,345
"346.R5",116,118,24,"R5",1,346
"347.R5",116,119,24,"R5",4,347
"348.R5",116,120,24,"R5",4,348
"349.R5",117,116,24,"R5",1,349
"350.R5",117,118,24,"R5",1,350
"351.R5",117,119,24,"R5",1,351
"352.R5",117,120,24,"R5",1,352
"353.R5",118,116,24,"R5",3,353
"354.R5",118,117,24,"R5",1,354
"355.R5",118,119,24,"R5",2,355
"356.R5",118,120,24,"R5",1,356
"357.R5",119,116,24,"R5",6,357
"358.R5",119,117,24,"R5",1,358
"359.R5",119,118,24,"R5",1,359
"360.R5",119,120,24,"R5",1,360
"361.R5",120,117,24,"R5",2,361
"362.R5",120,118,24,"R5",1,362
"363.R5",120,119,24,"R5",1,363
"364.R5",121,122,25,"R5",3,364
"365.R5",121,123,25,"R5",6,365
"366.R5",121,124,25,"R5",6,366
"367.R5",121,125,25,"R5",3,367
"368.R5",122,121,25,"R5",1,368
"369.R5",122,123,25,"R5",3,369
"370.R5",122,124,25,"R5",3,370
"371.R5",122,125,25,"R5",2,371
"372.R5",123,121,25,"R5",2,372
"373.R5",123,122,25,"R5",2,373
"374.R5",123,124,25,"R5",2,374
"375.R5",123,125,25,"R5",2,375
"376.R5",124,121,25,"R5",2,376
"377.R5",124,122,25,"R5",2,377
"378.R5",124,123,25,"R5",3,378
"379.R5",124,125,25,"R5",1,379
"380.R5",125,121,25,"R5",3,380
"381.R5",125,122,25,"R5",3,381
"382.R5",125,123,25,"R5",1,382
"383.R5",125,124,25,"R5",5,383
"384.R5",126,127,26,"R5",2,384
"385.R5",126,128,26,"R5",1,385
"386.R5",126,129,26,"R5",2,386
"387.R5",126,130,26,"R5",4,387
"388.R5",127,126,26,"R5",1,388
"389.R5",127,128,26,"R5",1,389
"390.R5",127,129,26,"R5",3,390
"391.R5",127,130,26,"R5",1,391
"392.R5",128,126,26,"R5",1,392
"393.R5",128,127,26,"R5",1,393
"394.R5",128,129,26,"R5",1,394
"395.R5",128,130,26,"R5",1,395
"396.R5",129,126,26,"R5",2,396
"397.R5",129,127,26,"R5",1,397
"398.R5",129,128,26,"R5",2,398
"399.R5",129,130,26,"R5",1,399
"400.R5",130,126,26,"R5",1,400
"401.R5",130,127,26,"R5",1,401
"402.R5",130,128,26,"R5",2,402
"403.R5",130,129,26,"R5",1,403
"404.R5",131,132,27,"R5",1,404
"405.R5",131,133,27,"R5",2,405
"406.R5",131,134,27,"R5",2,406
"407.R5",131,135,27,"R5",1,407
"408.R5",132,131,27,"R5",4,408
"409.R5",132,133,27,"R5",5,409
"410.R5",132,134,27,"R5",1,410
"411.R5",132,135,27,"R5",2,411
"412.R5",133,131,27,"R5",1,412
"413.R5",133,132,27,"R5",1,413
"414.R5",133,134,27,"R5",2,414
"415.R5",133,135,27,"R5",1,415
"416.R5",134,131,27,"R5",1,416
"417.R5",134,132,27,"R5",4,417
"418.R5",134,133,27,"R5",5,418
"419.R5",134,135,27,"R5",1,419
"420.R5",135,131,27,"R5",1,420
"421.R5",135,132,27,"R5",2,421
"422.R5",135,133,27,"R5",3,422
"423.R5",135,134,27,"R5",2,423
"424.R5",136,138,28,"R5",1,424
"425.R5",136,139,28,"R5",1,425
"426.R5",136,140,28,"R5",4,426
"427.R5",137,136,28,"R5",3,427
"428.R5",137,138,28,"R5",2,428
"429.R5",138,136,28,"R5",3,429
"430.R5",138,137,28,"R5",3,430
"431.R5",138,139,28,"R5",3,431
"432.R5",138,140,28,"R5",5,432
"433.R5",139,136,28,"R5",1,433
"434.R5",139,137,28,"R5",1,434
"435.R5",139,138,28,"R5",1,435
"436.R5",139,140,28,"R5",6,436
"437.R5",140,136,28,"R5",2,437
"438.R5",140,137,28,"R5",3,438
"439.R5",140,138,28,"R5",2,439
"440.R5",140,139,28,"R5",3,440
"441.R5",141,142,29,"R5",2,441
"442.R5",141,143,29,"R5",1,442
"443.R5",141,144,29,"R5",1,443
"444.R5",141,145,29,"R5",2,444
"445.R5",142,141,29,"R5",3,445
"446.R5",142,143,29,"R5",3,446
"447.R5",142,144,29,"R5",2,447
"448.R5",142,145,29,"R5",1,448
"449.R5",143,141,29,"R5",1,449
"450.R5",143,142,29,"R5",4,450
"451.R5",143,144,29,"R5",3,451
"452.R5",143,145,29,"R5",1,452
"453.R5",144,141,29,"R5",2,453
"454.R5",144,142,29,"R5",4,454
"455.R5",144,143,29,"R5",2,455
"456.R5",144,145,29,"R5",1,456
"457.R5",145,141,29,"R5",4,457
"458.R5",145,142,29,"R5",6,458
"459.R5",145,143,29,"R5",2,459
"460.R5",145,144,29,"R5",4,460
"461.R5",146,147,30,"R5",6,461
"462.R5",146,148,30,"R5",2,462
"463.R5",146,149,30,"R5",2,463
"464.R5",146,150,30,"R5",2,464
"465.R5",147,146,30,"R5",2,465
"466.R5",147,148,30,"R5",2,466
"467.R5",147,149,30,"R5",1,467
"468.R5",147,150,30,"R5",2,468
"469.R5",148,146,30,"R5",2,469
"470.R5",148,147,30,"R5",4,470
"471.R5",148,149,30,"R5",3,471
"472.R5",148,150,30,"R5",3,472
"473.R5",149,146,30,"R5",5,473
"474.R5",149,147,30,"R5",2,474
"475.R5",149,148,30,"R5",2,475
"476.R5",149,150,30,"R5",4,476
"477.R5",150,146,30,"R5",1,477
"478.R5",150,147,30,"R5",3,478
"479.R5",150,148,30,"R5",2,479
"480.R5",150,149,30,"R5",1,480
"481.R5",151,152,31,"R5",2,481
"482.R5",151,153,31,"R5",2,482
"483.R5",151,154,31,"R5",1,483
"484.R5",151,155,31,"R5",3,484
"485.R5",152,151,31,"R5",1,485
"486.R5",152,153,31,"R5",5,486
"487.R5",152,154,31,"R5",4,487
"488.R5",152,155,31,"R5",5,488
"489.R5",153,151,31,"R5",3,489
"490.R5",153,152,31,"R5",5,490
"491.R5",153,154,31,"R5",5,491
"492.R5",153,155,31,"R5",4,492
"493.R5",154,151,31,"R5",2,493
"494.R5",154,152,31,"R5",2,494
"495.R5",154,153,31,"R5",3,495
"496.R5",154,155,31,"R5",2,496
"497.R5",155,151,31,"R5",1,497
"498.R5",155,152,31,"R5",1,498
"499.R5",155,153,31,"R5",1,499
"500.R5",155,154,31,"R5",1,500
"501.R5",156,157,32,"R5",4,501
"502.R5",156,158,32,"R5",5,502
"503.R5",156,159,32,"R5",3,503
"504.R5",156,160,32,"R5",2,504
"505.R5",157,156,32,"R5",1,505
"506.R5",157,158,32,"R5",3,506
"507.R5",157,159,32,"R5",5,507
"508.R5",157,160,32,"R5",4,508
"509.R5",158,156,32,"R5",1,509
"510.R5",158,157,32,"R5",4,510
"511.R5",158,159,32,"R5",2,511
"512.R5",158,160,32,"R5",1,512
"513.R5",159,156,32,"R5",2,513
"514.R5",159,157,32,"R5",4,514
"515.R5",159,158,32,"R5",2,515
"516.R5",159,160,32,"R5",1,516
"517.R5",160,156,32,"R5",2,517
"518.R5",160,157,32,"R5",1,518
"519.R5",160,158,32,"R5",3,519
"520.R5",160,159,32,"R5",3,520
"1.R7",6,7,2,"R7",2,1
"2.R7",6,8,2,"R7",1,2
"3.R7",6,9,2,"R7",1,3
"4.R7",6,10,2,"R7",1,4
"5.R7",7,6,2,"R7",3,5
"6.R7",7,8,2,"R7",2,6
"7.R7",7,9,2,"R7",2,7
"8.R7",7,10,2,"R7",2,8
"9.R7",8,6,2,"R7",4,9
"10.R7",8,7,2,"R7",3,10
"11.R7",8,9,2,"R7",2,11
"12.R7",8,10,2,"R7",2,12
"13.R7",9,6,2,"R7",1,13
"14.R7",9,7,2,"R7",1,14
"15.R7",9,8,2,"R7",1,15
"16.R7",9,10,2,"R7",1,16
"17.R7",10,6,2,"R7",1,17
"18.R7",10,7,2,"R7",2,18
"19.R7",10,8,2,"R7",1,19
"20.R7",10,9,2,"R7",1,20
"21.R7",11,12,3,"R7",1,21
"22.R7",11,13,3,"R7",2,22
"23.R7",11,14,3,"R7",2,23
"24.R7",11,15,3,"R7",1,24
"25.R7",12,11,3,"R7",1,25
"26.R7",12,13,3,"R7",7,26
"27.R7",12,14,3,"R7",1,27
"28.R7",12,15,3,"R7",7,28
"29.R7",13,11,3,"R7",1,29
"30.R7",13,12,3,"R7",1,30
"31.R7",13,14,3,"R7",3,31
"32.R7",13,15,3,"R7",6,32
"33.R7",14,11,3,"R7",1,33
"34.R7",14,12,3,"R7",1,34
"35.R7",14,13,3,"R7",2,35
"36.R7",14,15,3,"R7",3,36
"37.R7",15,11,3,"R7",2,37
"38.R7",15,12,3,"R7",1,38
"39.R7",15,13,3,"R7",3,39
"40.R7",15,14,3,"R7",3,40
"41.R7",16,17,4,"R7",1,41
"42.R7",16,18,4,"R7",1,42
"43.R7",16,19,4,"R7",1,43
"44.R7",16,20,4,"R7",1,44
"45.R7",17,16,4,"R7",1,45
"46.R7",17,18,4,"R7",1,46
"47.R7",17,19,4,"R7",1,47
"48.R7",17,20,4,"R7",1,48
"49.R7",18,16,4,"R7",2,49
"50.R7",18,17,4,"R7",1,50
"51.R7",18,19,4,"R7",1,51
"52.R7",18,20,4,"R7",1,52
"53.R7",20,16,4,"R7",1,53
"54.R7",20,17,4,"R7",1,54
"55.R7",20,18,4,"R7",1,55
"56.R7",20,19,4,"R7",1,56
"57.R7",21,22,5,"R7",1,57
"58.R7",21,23,5,"R7",1,58
"59.R7",21,24,5,"R7",1,59
"60.R7",21,25,5,"R7",1,60
"61.R7",22,21,5,"R7",1,61
"62.R7",22,23,5,"R7",1,62
"63.R7",22,24,5,"R7",1,63
"64.R7",23,21,5,"R7",3,64
"65.R7",23,22,5,"R7",3,65
"66.R7",23,24,5,"R7",2,66
"67.R7",23,25,5,"R7",3,67
"68.R7",24,22,5,"R7",2,68
"69.R7",24,23,5,"R7",1,69
"70.R7",24,25,5,"R7",1,70
"71.R7",25,21,5,"R7",1,71
"72.R7",25,22,5,"R7",1,72
"73.R7",25,23,5,"R7",1,73
"74.R7",25,24,5,"R7",1,74
"75.R7",26,28,6,"R7",4,75
"76.R7",26,29,6,"R7",1,76
"77.R7",26,30,6,"R7",1,77
"78.R7",28,26,6,"R7",5,78
"79.R7",28,27,6,"R7",3,79
"80.R7",28,29,6,"R7",3,80
"81.R7",28,30,6,"R7",4,81
"82.R7",29,26,6,"R7",1,82
"83.R7",29,27,6,"R7",1,83
"84.R7",29,28,6,"R7",1,84
"85.R7",29,30,6,"R7",1,85
"86.R7",32,31,7,"R7",5,86
"87.R7",32,33,7,"R7",1,87
"88.R7",32,34,7,"R7",1,88
"89.R7",32,35,7,"R7",1,89
"90.R7",33,31,7,"R7",3,90
"91.R7",33,34,7,"R7",7,91
"92.R7",33,35,7,"R7",1,92
"93.R7",34,31,7,"R7",1,93
"94.R7",34,32,7,"R7",1,94
"95.R7",34,33,7,"R7",1,95
"96.R7",34,35,7,"R7",1,96
"97.R7",35,31,7,"R7",5,97
"98.R7",35,32,7,"R7",1,98
"99.R7",35,33,7,"R7",4,99
"100.R7",35,34,7,"R7",4,100
"101.R7",36,37,8,"R7",3,101
"102.R7",36,38,8,"R7",2,102
"103.R7",36,39,8,"R7",2,103
"104.R7",36,40,8,"R7",2,104
"105.R7",37,36,8,"R7",1,105
"106.R7",37,38,8,"R7",1,106
"107.R7",37,39,8,"R7",1,107
"108.R7",37,40,8,"R7",3,108
"109.R7",38,36,8,"R7",1,109
"110.R7",38,37,8,"R7",1,110
"111.R7",38,39,8,"R7",1,111
"112.R7",38,40,8,"R7",1,112
"113.R7",39,36,8,"R7",1,113
"114.R7",39,37,8,"R7",1,114
"115.R7",39,38,8,"R7",1,115
"116.R7",39,40,8,"R7",1,116
"117.R7",40,36,8,"R7",1,117
"118.R7",40,37,8,"R7",2,118
"119.R7",40,38,8,"R7",1,119
"120.R7",40,39,8,"R7",4,120
"121.R7",41,42,9,"R7",1,121
"122.R7",41,43,9,"R7",1,122
"123.R7",41,44,9,"R7",1,123
"124.R7",41,45,9,"R7",1,124
"125.R7",42,41,9,"R7",2,125
"126.R7",42,43,9,"R7",1,126
"127.R7",42,44,9,"R7",1,127
"128.R7",42,45,9,"R7",1,128
"129.R7",43,42,9,"R7",2,129
"130.R7",43,44,9,"R7",2,130
"131.R7",43,45,9,"R7",2,131
"132.R7",44,41,9,"R7",3,132
"133.R7",44,42,9,"R7",5,133
"134.R7",44,43,9,"R7",6,134
"135.R7",44,45,9,"R7",1,135
"136.R7",45,41,9,"R7",2,136
"137.R7",45,43,9,"R7",3,137
"138.R7",45,44,9,"R7",2,138
"139.R7",46,50,10,"R7",1,139
"140.R7",47,46,10,"R7",3,140
"141.R7",47,48,10,"R7",2,141
"142.R7",47,49,10,"R7",2,142
"143.R7",47,50,10,"R7",2,143
"144.R7",48,46,10,"R7",1,144
"145.R7",48,47,10,"R7",1,145
"146.R7",48,49,10,"R7",1,146
"147.R7",48,50,10,"R7",1,147
"148.R7",49,50,10,"R7",4,148
"149.R7",56,57,12,"R7",1,149
"150.R7",56,58,12,"R7",1,150
"151.R7",56,59,12,"R7",1,151
"152.R7",56,60,12,"R7",1,152
"153.R7",57,56,12,"R7",1,153
"154.R7",57,58,12,"R7",1,154
"155.R7",57,59,12,"R7",1,155
"156.R7",57,60,12,"R7",1,156
"157.R7",58,56,12,"R7",1,157
"158.R7",58,57,12,"R7",1,158
"159.R7",58,59,12,"R7",1,159
"160.R7",58,60,12,"R7",1,160
"161.R7",59,56,12,"R7",4,161
"162.R7",59,57,12,"R7",1,162
"163.R7",59,58,12,"R7",2,163
"164.R7",59,60,12,"R7",1,164
"165.R7",60,56,12,"R7",1,165
"166.R7",60,57,12,"R7",1,166
"167.R7",60,58,12,"R7",1,167
"168.R7",60,59,12,"R7",2,168
"169.R7",61,62,13,"R7",4,169
"170.R7",61,63,13,"R7",5,170
"171.R7",61,64,13,"R7",4,171
"172.R7",61,65,13,"R7",4,172
"173.R7",62,61,13,"R7",1,173
"174.R7",62,63,13,"R7",2,174
"175.R7",62,64,13,"R7",2,175
"176.R7",62,65,13,"R7",1,176
"177.R7",63,61,13,"R7",1,177
"178.R7",63,62,13,"R7",1,178
"179.R7",64,61,13,"R7",1,179
"180.R7",64,62,13,"R7",6,180
"181.R7",64,63,13,"R7",1,181
"182.R7",64,65,13,"R7",1,182
"183.R7",65,61,13,"R7",2,183
"184.R7",65,62,13,"R7",2,184
"185.R7",65,63,13,"R7",2,185
"186.R7",65,64,13,"R7",5,186
"187.R7",66,67,14,"R7",1,187
"188.R7",69,67,14,"R7",1,188
"189.R7",69,70,14,"R7",3,189
"190.R7",70,66,14,"R7",1,190
"191.R7",70,67,14,"R7",1,191
"192.R7",70,68,14,"R7",1,192
"193.R7",70,69,14,"R7",1,193
"194.R7",71,72,15,"R7",2,194
"195.R7",71,74,15,"R7",2,195
"196.R7",71,75,15,"R7",6,196
"197.R7",72,71,15,"R7",1,197
"198.R7",72,73,15,"R7",1,198
"199.R7",72,74,15,"R7",1,199
"200.R7",72,75,15,"R7",1,200
"201.R7",73,71,15,"R7",7,201
"202.R7",73,72,15,"R7",1,202
"203.R7",74,72,15,"R7",1,203
"204.R7",74,73,15,"R7",1,204
"205.R7",74,75,15,"R7",1,205
"206.R7",75,72,15,"R7",2,206
"207.R7",75,73,15,"R7",3,207
"208.R7",75,74,15,"R7",2,208
"209.R7",77,76,16,"R7",1,209
"210.R7",77,78,16,"R7",1,210
"211.R7",77,79,16,"R7",1,211
"212.R7",77,80,16,"R7",2,212
"213.R7",78,76,16,"R7",1,213
"214.R7",78,77,16,"R7",2,214
"215.R7",78,79,16,"R7",1,215
"216.R7",78,80,16,"R7",1,216
"217.R7",79,76,16,"R7",3,217
"218.R7",79,77,16,"R7",3,218
"219.R7",79,78,16,"R7",3,219
"220.R7",79,80,16,"R7",4,220
"221.R7",80,76,16,"R7",1,221
"222.R7",80,77,16,"R7",1,222
"223.R7",80,78,16,"R7",1,223
"224.R7",80,79,16,"R7",1,224
"225.R7",81,82,17,"R7",2,225
"226.R7",81,83,17,"R7",1,226
"227.R7",81,84,17,"R7",4,227
"228.R7",81,85,17,"R7",6,228
"229.R7",82,81,17,"R7",1,229
"230.R7",82,83,17,"R7",1,230
"231.R7",82,84,17,"R7",1,231
"232.R7",82,85,17,"R7",1,232
"233.R7",83,81,17,"R7",1,233
"234.R7",83,82,17,"R7",1,234
"235.R7",83,84,17,"R7",2,235
"236.R7",83,85,17,"R7",1,236
"237.R7",84,81,17,"R7",1,237
"238.R7",84,82,17,"R7",2,238
"239.R7",84,83,17,"R7",1,239
"240.R7",84,85,17,"R7",6,240
"241.R7",85,81,17,"R7",1,241
"242.R7",85,82,17,"R7",2,242
"243.R7",85,83,17,"R7",1,243
"244.R7",85,84,17,"R7",1,244
"245.R7",86,87,18,"R7",2,245
"246.R7",86,88,18,"R7",2,246
"247.R7",86,89,18,"R7",2,247
"248.R7",86,90,18,"R7",2,248
"249.R7",89,86,18,"R7",1,249
"250.R7",89,87,18,"R7",7,250
"251.R7",89,88,18,"R7",1,251
"252.R7",89,90,18,"R7",1,252
"253.R7",91,92,19,"R7",1,253
"254.R7",91,93,19,"R7",2,254
"255.R7",91,94,19,"R7",1,255
"256.R7",91,95,19,"R7",2,256
"257.R7",92,91,19,"R7",1,257
"258.R7",92,93,19,"R7",2,258
"259.R7",92,94,19,"R7",2,259
"260.R7",92,95,19,"R7",3,260
"261.R7",93,91,19,"R7",1,261
"262.R7",93,92,19,"R7",2,262
"263.R7",93,94,19,"R7",1,263
"264.R7",93,95,19,"R7",2,264
"265.R7",95,91,19,"R7",1,265
"266.R7",95,92,19,"R7",3,266
"267.R7",95,93,19,"R7",2,267
"268.R7",95,94,19,"R7",1,268
"269.R7",96,97,20,"R7",1,269
"270.R7",96,98,20,"R7",5,270
"271.R7",96,99,20,"R7",2,271
"272.R7",96,100,20,"R7",2,272
"273.R7",97,96,20,"R7",1,273
"274.R7",97,98,20,"R7",1,274
"275.R7",97,99,20,"R7",1,275
"276.R7",97,100,20,"R7",1,276
"277.R7",98,96,20,"R7",2,277
"278.R7",98,97,20,"R7",2,278
"279.R7",98,99,20,"R7",2,279
"280.R7",98,100,20,"R7",2,280
"281.R7",99,96,20,"R7",2,281
"282.R7",99,97,20,"R7",4,282
"283.R7",99,98,20,"R7",2,283
"284.R7",99,100,20,"R7",2,284
"285.R7",100,96,20,"R7",4,285
"286.R7",100,97,20,"R7",3,286
"287.R7",100,98,20,"R7",3,287
"288.R7",100,99,20,"R7",3,288
"289.R7",101,102,21,"R7",1,289
"290.R7",101,103,21,"R7",1,290
"291.R7",101,104,21,"R7",1,291
"292.R7",101,105,21,"R7",1,292
"293.R7",102,101,21,"R7",3,293
"294.R7",102,103,21,"R7",3,294
"295.R7",102,104,21,"R7",3,295
"296.R7",102,105,21,"R7",2,296
"297.R7",103,101,21,"R7",2,297
"298.R7",103,102,21,"R7",3,298
"299.R7",103,104,21,"R7",2,299
"300.R7",103,105,21,"R7",2,300
"301.R7",104,101,21,"R7",1,301
"302.R7",104,102,21,"R7",1,302
"303.R7",104,103,21,"R7",1,303
"304.R7",104,105,21,"R7",1,304
"305.R7",105,101,21,"R7",1,305
"306.R7",105,102,21,"R7",1,306
"307.R7",105,103,21,"R7",1,307
"308.R7",105,104,21,"R7",1,308
"309.R7",106,107,22,"R7",1,309
"310.R7",106,108,22,"R7",1,310
"311.R7",106,109,22,"R7",1,311
"312.R7",106,110,22,"R7",5,312
"313.R7",107,106,22,"R7",1,313
"314.R7",107,108,22,"R7",1,314
"315.R7",107,109,22,"R7",1,315
"316.R7",107,110,22,"R7",4,316
"317.R7",108,106,22,"R7",1,317
"318.R7",108,107,22,"R7",4,318
"319.R7",108,109,22,"R7",1,319
"320.R7",108,110,22,"R7",6,320
"321.R7",109,106,22,"R7",1,321
"322.R7",109,107,22,"R7",3,322
"323.R7",109,108,22,"R7",1,323
"324.R7",109,110,22,"R7",2,324
"325.R7",110,106,22,"R7",1,325
"326.R7",110,107,22,"R7",2,326
"327.R7",110,109,22,"R7",1,327
"328.R7",110,108,22,"R7",1,328
"329.R7",112,111,23,"R7",4,329
"330.R7",112,113,23,"R7",1,330
"331.R7",112,114,23,"R7",2,331
"332.R7",112,115,23,"R7",5,332
"333.R7",113,111,23,"R7",1,333
"334.R7",113,112,23,"R7",1,334
"335.R7",113,114,23,"R7",1,335
"336.R7",113,115,23,"R7",1,336
"337.R7",114,111,23,"R7",1,337
"338.R7",114,112,23,"R7",1,338
"339.R7",114,113,23,"R7",1,339
"340.R7",114,115,23,"R7",1,340
"341.R7",115,111,23,"R7",6,341
"342.R7",115,112,23,"R7",1,342
"343.R7",115,113,23,"R7",2,343
"344.R7",115,114,23,"R7",2,344
"345.R7",116,117,24,"R7",1,345
"346.R7",116,118,24,"R7",1,346
"347.R7",116,119,24,"R7",1,347
"348.R7",116,120,24,"R7",1,348
"349.R7",117,116,24,"R7",1,349
"350.R7",117,118,24,"R7",1,350
"351.R7",117,119,24,"R7",1,351
"352.R7",117,120,24,"R7",1,352
"353.R7",118,116,24,"R7",1,353
"354.R7",118,117,24,"R7",1,354
